,sigmoid,tanh,linear,relu
0,0.5848156427070633,0.142723866009151,0.17129322617199083,0.5557111429377936
1,0.5846012708126536,0.14300582500680967,0.17229214454254296,0.5602211092093233
2,0.5844048360848821,0.14002618314009418,0.17225594673991743,0.5422193643347661
3,0.5841201915053466,0.14408757575551598,0.1686378399133841,0.558156191209134
4,0.5847337599990725,0.1405794384437691,0.17120340917484148,0.5428017137003414
5,0.5853945026892763,0.14310502554147042,0.17248012545200847,0.5596815753171535
6,0.5848866672772428,0.14159737385248006,0.17309585337859024,0.5565436614961206
7,0.5851514206030497,0.1432031188397864,0.17008120469297264,0.5899479183523242
8,0.5853466189457128,0.14080006881940166,0.1704213309366367,0.5421863181706918
9,0.5850368105931536,0.14480232858446462,0.17035012714731262,0.5601551485180669
