,sigmoid,tanh,linear,relu
0,0.7647323994097958,0.3777881231711116,0.41387585840683055,0.7454603563824126
1,0.7645922251845447,0.3781611098550586,0.41508088915600894,0.7484791975795475
2,0.7644637572082029,0.3742007257343232,0.415037283554041,0.7363554605859632
3,0.7642775618225008,0.3795886928710021,0.41065537852728057,0.7470985150628624
4,0.7646788606984455,0.37493924633701536,0.4137673370081808,0.7367507812689046
5,0.7651107780506534,0.3782922488519563,0.4153072663125562,0.748118690661551
6,0.7647788355317129,0.3762942649742088,0.41604789793795405,0.7460185396463821
7,0.7649519073791827,0.3784218794411687,0.41240902595963225,0.7680806717736909
8,0.7650794853776389,0.375233352488024,0.41282118518389616,0.7363330212415384
9,0.7648769904979189,0.38052901148856527,0.4127349357000357,0.7484351331398513
