,sigmoid,tanh,linear,relu
0,0.42042424275340273,0.8585549245288399,0.830241542770133,0.44926796932503843
1,0.42063669389862146,0.8582754918535713,0.8292515746010867,0.44479841186778735
2,0.42083136859229187,0.861228436448609,0.8292874480752815,0.46263886303823865
3,0.42111346278691153,0.8572034334755988,0.832873137052547,0.44684482842407525
4,0.4205053918011087,0.8606801382531404,0.8303305550166171,0.4620617314605453
5,0.41985056929457076,0.8581771801450658,0.8290652779804166,0.4453331115941269
6,0.4203538545557576,0.8596713234365585,0.8284550669100447,0.4484429100437396
7,0.42009147339136554,0.8580799657521863,0.8314427046666402,0.4153379517476913
8,0.4198980240049255,0.8604614847020198,0.8311056259176544,0.4626716131122258
9,0.42020505650786044,0.8564950847553687,0.8311761917286599,0.44486378155832174
