,sigmoid,tanh,linear,relu
0,28.929287910461426,28.55548620223999,27.639212369918823,27.087278366088867
1,28.806779623031616,28.351234197616577,27.14535903930664,27.274351119995117
2,27.960741996765137,27.687788486480713,30.45573854446411,27.798035144805908
3,28.172974348068237,27.509249448776245,27.245829582214355,27.060535430908203
4,27.670901775360107,27.370262145996094,27.183232069015503,27.161791563034058
5,27.671687364578247,27.30924963951111,27.38841462135315,27.478845596313477
6,27.64692211151123,27.369486570358276,27.448226928710938,27.04451298713684
7,28.466232299804688,27.498748779296875,27.310813188552856,27.287763833999634
8,27.78615689277649,27.337542295455933,27.599236488342285,27.0794038772583
9,27.94686985015869,28.061811208724976,26.94819474220276,30.4504554271698
