,sigmoid,tanh,linear,relu
0,0.5499476123895338,0.23684049753393493,0.3035837928758317,0.4804588111209804
1,0.5484601167739468,0.23832211041269372,0.3076307523020471,0.49025908953886005
2,0.5479712650081187,0.23447397782665128,0.3080431549795396,0.46439255431492027
3,0.5475583928246391,0.23921261043628958,0.30336900507664943,0.4867239366479971
4,0.5482518847660433,0.23576214804449963,0.3028538435416732,0.46559890395514636
5,0.5489290180382538,0.23869466570866324,0.3045918856699042,0.48890576976521866
6,0.5487820307620067,0.23828172448394558,0.30547770410218505,0.4822859140169179
7,0.5489010925023153,0.23713975470505058,0.30521497890964366,0.503305150080065
8,0.5495252725054725,0.23446248171360684,0.3029206023507915,0.4641919428711151
9,0.5490806461060936,0.24150073918168044,0.2999846529636215,0.489876377328734
