,1.3,1.2,1.1,1.0,0.9,0.8,0.7
1.0,[1.009056833520079],[1.0090472227414415],[1.0090600087588046],[1.0092470281538397],[1.009041360468413],[1.009056920993786],[1.0090635897278797]
0.1,[0.44218196805948373],[0.4420650710866943],[0.4641168987032966],[0.4730043051129495],[0.48715990538103265],[0.5186292361307336],[0.5564557129100076]
0.5,[1.009084406354171],[1.0092073865216005],[1.009042184593209],[1.0090809803073801],[1.0091596089113468],[1.0090427743327814],[1.0090512752645873]
0.01,[0.12914709527988502],[0.13445501941168],[0.13643778777905752],[0.12937122618629412],[0.12276716500052409],[0.12367388867432023],[0.12133356620446079]
0.05,[0.11259526322616567],[0.11316457992256208],[0.11262099304385435],[0.11093316288471089],[0.11200540051625014],[0.11265677004338394],[0.11374684842768829]
0.001,[0.17552325772481678],[0.1737724107469699],[0.1772447902036423],[0.17212077292372532],[0.17835839878455537],[0.1880099135469218],[0.1728365960825839]
0.005,[0.14951336600489298],[0.13491349053392507],[0.1627676278582969],[0.13662323082788566],[0.13725419191040744],[0.13386226230439058],[0.1327850503228373]
