,1.3,1.2,1.1,1.0,0.9,0.8,0.7
1.0,[-1.579247290184327e-05],[-6.267805810811211e-06],[-1.8939261829054033e-05],[-0.00020428298313501791],[-4.58058119878757e-07],[-1.587916285394897e-05],[-2.248814580507741e-05]
0.1,[0.5617799349679218],[0.5618957845563675],[0.5400415389510296],[0.5312337627499868],[0.5172049951426811],[0.48601762622266487],[0.44853007061995]
0.5,[-4.311825735658914e-05],[-0.00016499653567048078],[-1.2747988460404258e-06],[-3.972290757747743e-05],[-0.00011764700768246428],[-1.8592544153150925e-06],[-1.0284018783446314e-05]
0.01,[0.8720100488479396],[0.866749683147302],[0.8647846801719233],[0.8717879261304229],[0.878332815635991],[0.877434216109102],[0.879753569540538]
0.05,[0.8884135782609826],[0.8878493625811493],[0.8883880789797018],[0.8900607863615719],[0.8889981558642566],[0.8883526225382524],[0.8872723111394039]
0.001,[0.8260494118465178],[0.8277845714231519],[0.8243433041141368],[0.8294214107485725],[0.8232396733467185],[0.8136746351218823],[0.8287120012884738]
0.005,[0.8518262577251563],[0.8662953198771596],[0.8386907526369671],[0.8646008986729312],[0.8639755909340634],[0.8673371292144598],[0.8684046894921464]
