,0
0,0.6473952531814575
1,0.29213252663612366
2,0.2036973536014557
3,0.17834143340587616
4,0.16790638864040375
5,0.16193318367004395
6,0.15768961608409882
7,0.15488576889038086
8,0.15249833464622498
9,0.15049709379673004
10,0.14895480871200562
11,0.1472155898809433
12,0.1460418552160263
13,0.14514285326004028
14,0.14397591352462769
15,0.14298926293849945
16,0.1424121856689453
17,0.14171868562698364
18,0.1411062330007553
19,0.14064836502075195
20,0.14002718031406403
21,0.13950105011463165
22,0.13920274376869202
23,0.1385611593723297
24,0.1383807510137558
25,0.13771751523017883
26,0.13753265142440796
27,0.13712020218372345
28,0.13683274388313293
29,0.13658306002616882
