,1.3,1.2,1.1,1.0,0.9,0.8,0.7
1.0,[1.0045182096508152],[1.004513425864205],[1.0045197901280016],[1.0046128747700975],[1.004510507893478],[1.0045182531909442],[1.0045215725547558]
0.1,[0.6649676443703737],[0.6648797418230565],[0.6812612558360387],[0.6877530844081686],[0.6979684128820105],[0.7201591741627219],[0.7459595920088484]
0.5,[1.0045319339643568],[1.004593144771355],[1.0045109181055272],[1.0045302286677988],[1.0045693649078429],[1.0045112116511101],[1.0045154430194627]
0.01,[0.35937041514276746],[0.3666810867929787],[0.369374860783808],[0.3596821182465068],[0.35038145641646634],[0.35167298542014885],[0.3483296803381256]
0.05,[0.33555217660770087],[0.3363994350806227],[0.33559051393603834],[0.3330663040367652],[0.33467207908077745],[0.3356438142486525],[0.3372637668467935]
0.001,[0.41895495906459534],[0.41686018129220487],[0.42100450140543905],[0.4148744062047276],[0.42232499190144474],[0.4336010995683957],[0.41573620973230596]
0.005,[0.38666958246659766],[0.36730571807953805],[0.40344470235497815],[0.36962579837977444],[0.3704783285300335],[0.3658719206285043],[0.36439683083533714]
