,1.3,1.2,1.1,1.0,0.9,0.8,0.7
1.0,[43.51941251754761],[42.965959310531616],[42.967976570129395],[41.56048893928528],[39.507795572280884],[37.95303773880005],[34.66618895530701]
0.1,[43.12072539329529],[40.54616165161133],[38.81194233894348],[41.73772954940796],[39.528257846832275],[38.122414112091064],[35.00853490829468]
0.5,[41.4076783657074],[43.35623121261597],[35.995269775390625],[41.06205940246582],[39.623262882232666],[37.72736382484436],[34.49229574203491]
0.01,[43.7169771194458],[43.809951305389404],[42.15837574005127],[36.87515425682068],[41.26740288734436],[38.85074806213379],[33.8084831237793]
0.05,[40.06135368347168],[42.68360877037048],[44.70877432823181],[40.65646958351135],[39.789506912231445],[37.99174189567566],[33.05367732048035]
0.001,[41.416160345077515],[42.632219314575195],[42.446619272232056],[41.26877975463867],[38.8589563369751],[39.40012788772583],[33.40766406059265]
0.005,[40.90083837509155],[40.989378690719604],[43.03878951072693],[41.06137204170227],[39.125612020492554],[37.6929771900177],[33.470431327819824]
