,1.3,1.2,1.1,1.0,0.9,0.8,0.7
1.0,[0.8513576559766444],[0.8513863683903626],[0.8513504304742759],[0.8511876627090236],[0.851423827666034],[0.8513574444946521],[0.8513431192425961]
0.1,[0.45098338381716846],[0.4590276187818728],[0.4694074875737826],[0.47510700207292383],[0.4867953966979473],[0.5060830762308527],[0.5388376878231288]
0.5,[0.8513113730784286],[0.8517614122380952],[0.8514621589145556],[0.8513159355272715],[0.8512403337673198],[0.8514672789020533],[0.8515089589944829]
0.01,[0.25101172770221875],[0.24843131043352604],[0.26977861261188524],[0.24438983678583345],[0.24134423873151814],[0.2432507017122093],[0.2383882562548536]
0.05,[0.20903707600774946],[0.21171513578199616],[0.2095696422857196],[0.2083045491714411],[0.21041938626903808],[0.21074189802756432],[0.2103715256094165]
0.001,[0.31180458906870534],[0.30912130866521026],[0.30563425078364487],[0.30631534956975004],[0.31568549650972394],[0.3159749682412163],[0.3078443489919534]
0.005,[0.2904508346250845],[0.2569312763920712],[0.312296982392768],[0.2662863659777928],[0.257119392390422],[0.25837544191018913],[0.25583785455425534]
